x_value,total_1,total_2
617,1722,1424
618,1724,1423
619,1727,1424
620,1724,1429
621,1720,1427
622,1716,1432
623,1712,1434
624,1709,1437
625,1709,1443
626,1705,1449
627,1701,1452
628,1709,1450
629,1704,1454
630,1708,1449
631,1707,1448
632,1702,1450
633,1696,1450
634,1699,1450
635,1701,1446
636,1701,1442
637,1703,1448
638,1708,1452
639,1705,1453
640,1711,1448
641,1710,1451
642,1715,1457
643,1716,1452
644,1721,1453
645,1718,1449
646,1715,1446
647,1720,1445
648,1719,1440
649,1726,1444
650,1723,1439
651,1729,1440
652,1724,1436
653,1731,1437
654,1730,1439
655,1731,1439
656,1737,1437
657,1745,1432
658,1740,1436
659,1748,1439
660,1750,1440
661,1746,1441
662,1743,1441
663,1741,1439
664,1749,1438
665,1744,1438
666,1744,1440
667,1744,1435
668,1741,1438
669,1741,1437
670,1749,1440
671,1756,1444
672,1755,1439
673,1751,1436
674,1745,1440
675,1742,1441
676,1748,1445
677,1753,1449
678,1757,1444
679,1761,1442
680,1767,1437
681,1765,1435
682,1770,1431
683,1777,1437
684,1777,1435
685,1773,1436
686,1772,1440
687,1778,1443
688,1786,1447
689,1786,1449
690,1781,1448
691,1787,1448
692,1794,1452
693,1802,1458
694,1806,1462
695,1804,1465
696,1799,1467
697,1806,1472
698,1812,1476
699,1817,1474
700,1821,1479
701,1817,1482
702,1815,1483
703,1820,1487
704,1814,1485
705,1814,1489
706,1810,1486
707,1814,1485
708,1815,1489
709,1820,1484
710,1817,1490
711,1813,1486
712,1811,1492
713,1813,1497
714,1818,1498
715,1821,1496
716,1823,1496
717,1818,1501
718,1817,1499
719,1817,1500
720,1813,1501
721,1816,1500
722,1817,1504
723,1820,1509
724,1817,1509
725,1821,1506
726,1815,1506
727,1812,1507
728,1820,1506
729,1824,1512
730,1821,1515
731,1816,1516
732,1818,1513
733,1826,1509
734,1820,1512
735,1825,1507
736,1830,1511
737,1825,1512
738,1827,1518
739,1822,1514
740,1829,1516
741,1823,1519
742,1818,1520
743,1819,1524
744,1827,1527
745,1821,1529
746,1829,1534
747,1824,1535
748,1831,1535
749,1829,1535
750,1828,1538
751,1830,1538
752,1830,1543
753,1831,1546
754,1834,1550
755,1832,1545
756,1832,1541
757,1828,1537
758,1834,1533
759,1830,1530
760,1836,1530
761,1844,1528
762,1851,1526
763,1851,1528
764,1855,1525
765,1854,1530
766,1853,1530
767,1861,1528
768,1859,1527
769,1860,1531
770,1866,1534
771,1864,1533
772,1865,1530
773,1870,1535
774,1871,1534
775,1874,1536
776,1875,1538
777,1876,1541
778,1873,1537
779,1877,1541
780,1875,1540
781,1876,1542
782,1877,1547
783,1873,1552
784,1868,1557
785,1868,1562
786,1868,1558
787,1873,1563
788,1870,1560
789,1864,1558
790,1861,1562
791,1866,1558
792,1860,1556
793,1866,1559
794,1866,1562
795,1863,1559
796,1867,1559
797,1873,1557
798,1873,1561
799,1868,1557
800,1866,1552
801,1863,1547
802,1870,1545
803,1874,1545
804,1881,1544
805,1880,1540
806,1882,1545
807,1887,1542
808,1883,1545
809,1877,1544
810,1885,1546
811,1889,1541
812,1883,1538
813,1882,1540
814,1888,1540
815,1883,1542
816,1888,1546
817,1895,1544
818,1893,1543
819,1897,1541
820,1901,1542
821,1899,1547
822,1906,1547
823,1903,1548
824,1909,1545
825,1908,1546
826,1907,1550
827,1902,1549
828,1898,1548
829,1894,1546
830,1900,1548
831,1900,1543
832,1908,1548
833,1912,1545
834,1918,1546
835,1922,1552
836,1923,1557
837,1921,1556
838,1918,1560
839,1915,1565
840,1918,1563
841,1912,1567
842,1906,1566
843,1906,1569
844,1909,1572
845,1904,1578
846,1901,1582
847,1909,1588
848,1912,1586
849,1919,1581
850,1914,1584
851,1909,1579
852,1905,1584
853,1912,1588
854,1915,1589
855,1914,1585
856,1910,1583
857,1911,1589
858,1905,1588
859,1902,1594
860,1897,1593
861,1894,1590
862,1888,1596
863,1887,1592
864,1883,1598
865,1878,1596
866,1872,1601
867,1875,1604
868,1883,1604
869,1877,1604
870,1876,1607
871,1872,1607
872,1877,1605
873,1882,1605
874,1889,1608
875,1890,1603
876,1897,1600
877,1897,1599
878,1900,1603
879,1902,1603
880,1908,1609
881,1903,1613
882,1910,1609
883,1908,1610
884,1903,1606
885,1902,1608
886,1903,1606
887,1905,1607
888,1909,1602
889,1908,1606
890,1908,1610
891,1908,1606
892,1913,1610
893,1911,1613
894,1918,1608
895,1919,1604
896,1914,1605
897,1913,1601
898,1910,1601
899,1916,1607
900,1918,1609
901,1922,1609
902,1921,1612
903,1921,1612
904,1916,1613
905,1922,1615
906,1920,1612
907,1922,1617
908,1929,1615
909,1925,1620
910,1919,1617
911,1919,1618
912,1923,1613
913,1924,1615
914,1918,1616
915,1918,1615
916,1919,1618
917,1926,1615
918,1933,1618
919,1939,1623
920,1943,1625
921,1950,1625
922,1952,1629
923,1956,1633
924,1952,1631
925,1955,1626
926,1959,1626
927,1967,1631
928,1973,1631
929,1976,1637
930,1971,1636
931,1970,1641
932,1976,1647
933,1972,1645
934,1978,1641
935,1979,1643
936,1977,1639
937,1984,1634
938,1991,1634
939,1995,1630
940,1998,1626
941,2003,1625
942,2008,1625
943,2010,1624
944,2013,1630
945,2019,1631
946,2013,1630
947,2010,1634
948,2014,1630
949,2014,1633
950,2021,1629
951,2020,1626
952,2021,1624
953,2027,1623
954,2026,1625
955,2031,1624
956,2029,1630
957,2035,1626
958,2043,1622
959,2037,1628
960,2034,1631
961,2032,1634
962,2033,1638
963,2034,1644
964,2038,1639
965,2044,1637
966,2044,1632
967,2042,1629
968,2038,1628
969,2044,1630
970,2043,1635
971,2045,1631
972,2050,1631
973,2051,1637
974,2054,1632
975,2055,1636
976,2061,1631
977,2063,1628
978,2058,1632
979,2061,1635
980,2060,1631
981,2062,1627
982,2062,1623
983,2057,1625
984,2063,1630
985,2061,1635
986,2059,1636
987,2060,1637
988,2060,1632
989,2054,1633
990,2050,1636
991,2047,1634
992,2045,1629
993,2046,1632
994,2045,1631
995,2051,1636
996,2058,1637
997,2062,1635
998,2063,1634
999,2062,1638
1000,2065,1641
1001,2069,1645
1002,2070,1641
1003,2065,1644
1004,2063,1647
1005,2063,1648
1006,2063,1644
1007,2064,1649
1008,2062,1655
1009,2064,1651
1010,2068,1656
1011,2063,1661
1012,2065,1667
1013,2067,1668
1014,2066,1664
1015,2067,1666
1016,2065,1663
1017,2071,1658
1018,2067,1655
1019,2067,1655
1020,2073,1661
1021,2067,1667
1022,2069,1672
1023,2076,1668
1024,2079,1670
1025,2078,1675
1026,2082,1670
1027,2078,1672
1028,2072,1673
1029,2072,1668
1030,2066,1671
1031,2065,1670
1032,2072,1668
1033,2079,1669
1034,2080,1666
1035,2078,1668
1036,2075,1671
1037,2083,1668
1038,2089,1664
1039,2093,1660
1040,2099,1663
1041,2098,1666
1042,2101,1663
1043,2104,1668
1044,2099,1674
1045,2103,1677
1046,2102,1679
1047,2096,1675
1048,2102,1672
1049,2104,1667
1050,2099,1662
1051,2104,1668
1052,2112,1672
1053,2106,1675
1054,2110,1671
1055,2114,1668
1056,2114,1673
1057,2122,1674
1058,2122,1679
1059,2125,1678
1060,2122,1678
1061,2117,1682
1062,2111,1677
1063,2116,1678
1064,2117,1674
1065,2123,1669
1066,2119,1671
1067,2120,1668
1068,2118,1663
1069,2123,1658
1070,2131,1660
1071,2126,1657
1072,2126,1659
1073,2129,1663
1074,2127,1659
1075,2124,1664
1076,2123,1668
1077,2120,1674
1078,2128,1673
1079,2136,1678
1080,2136,1676
1081,2134,1681
1082,2135,1683
1083,2135,1682
1084,2141,1687
1085,2143,1691
1086,2144,1690
1087,2149,1696
1088,2153,1702
1089,2149,1704
1090,2148,1710
1091,2154,1705
1092,2148,1700
1093,2151,1704
1094,2157,1701
1095,2153,1707
1096,2159,1708
1097,2158,1706
1098,2156,1710
1099,2154,1714
1100,2148,1712
1101,2153,1715
1102,2161,1720
1103,2155,1723
1104,2163,1720
1105,2160,1717
1106,2165,1716
1107,2162,1717
1108,2164,1718
1109,2169,1717
1110,2175,1718
1111,2182,1715
1112,2186,1710
1113,2189,1710
1114,2196,1716
1115,2200,1716
1116,2204,1713
1117,2208,1712
1118,2203,1713
1119,2201,1708
1120,2196,1707
1121,2201,1709
1122,2207,1710
1123,2203,1714
1124,2205,1718
1125,2201,1715
1126,2203,1717
1127,2197,1718
1128,2195,1713
1129,2203,1708
1130,2203,1710
1131,2211,1709
1132,2210,1708
1133,2209,1705
1134,2204,1702
1135,2208,1708
1136,2214,1713
1137,2215,1719
1138,2217,1718
1139,2220,1718
1140,2220,1719
1141,2214,1714
1142,2212,1710
1143,2215,1714
1144,2223,1718
1145,2226,1713
1146,2220,1716
1147,2223,1717
1148,2231,1721
1149,2233,1723
1150,2237,1728
1151,2245,1726
1152,2247,1730
1153,2249,1733
1154,2248,1736
1155,2245,1738
1156,2244,1740
1157,2251,1743
1158,2256,1738
1159,2261,1741
1160,2267,1736
1161,2267,1734
1162,2265,1731
1163,2265,1733
1164,2269,1739
1165,2265,1734
1166,2273,1731
1167,2281,1734
1168,2275,1730
1169,2277,1735
1170,2283,1735
1171,2279,1734
1172,2284,1730
1173,2281,1735
1174,2287,1731
1175,2282,1730
1176,2277,1735
1177,2276,1739
1178,2281,1740
1179,2275,1740
1180,2271,1745
1181,2269,1748
1182,2272,1743
1183,2274,1739
1184,2272,1735
1185,2270,1739
1186,2268,1740
1187,2272,1740
1188,2277,1741
1189,2271,1742
1190,2266,1746
1191,2270,1742
1192,2269,1737
1193,2277,1741
1194,2279,1736
1195,2278,1731
1196,2277,1727
1197,2282,1733
1198,2284,1734
1199,2284,1737
1200,2292,1732
1201,2296,1733
1202,2290,1738
1203,2293,1738
1204,2287,1735
1205,2284,1735
1206,2292,1737
1207,2286,1736
1208,2289,1739
1209,2297,1737
1210,2302,1742
1211,2297,1738
1212,2297,1738
1213,2304,1741
1214,2306,1736
1215,2308,1738
1216,2312,1740
1217,2319,1735
1218,2325,1732
1219,2331,1729
1220,2334,1732
1221,2330,1727
1222,2326,1733
1223,2325,1732
1224,2319,1733
1225,2326,1735
1226,2327,1731
1227,2325,1735
1228,2332,1730
1229,2333,1725
1230,2341,1720
1231,2342,1725
1232,2338,1731
1233,2336,1736
1234,2333,1732
1235,2340,1731
1236,2336,1734
1237,2332,1737
1238,2333,1738
1239,2331,1743
1240,2328,1738
1241,2327,1736
1242,2326,1736
1243,2330,1731
1244,2327,1729
1245,2333,1726
1246,2328,1730
1247,2331,1731
1248,2329,1731
1249,2323,1735
1250,2320,1740
1251,2324,1739
1252,2331,1735
1253,2332,1730
1254,2335,1732
1255,2343,1729
1256,2346,1731
1257,2341,1730
1258,2343,1729
1259,2347,1728
1260,2344,1726
1261,2352,1731
1262,2354,1731
1263,2356,1728
1264,2353,1729
1265,2358,1725
1266,2354,1722
1267,2354,1722
1268,2353,1723
1269,2350,1718
1270,2357,1714
1271,2360,1717
1272,2362,1717
1273,2369,1723
1274,2364,1726
1275,2368,1723
1276,2366,1719
1277,2369,1717
1278,2373,1712
1279,2381,1712
1280,2387,1709
1281,2388,1705
1282,2389,1709
1283,2394,1704
1284,2388,1709
1285,2385,1706
1286,2385,1703
1287,2385,1704
1288,2380,1701
1289,2381,1702
1290,2379,1702
1291,2381,1707
1292,2380,1711
1293,2380,1712
1294,2382,1709
1295,2386,1711
1296,2384,1708
1297,2385,1714
1298,2385,1713
1299,2387,1718
1300,2383,1717
1301,2385,1714
1302,2393,1711
1303,2394,1716
1304,2397,1711
1305,2404,1709
1306,2407,1709
1307,2410,1705
1308,2413,1708
1309,2421,1705
1310,2416,1706
1311,2411,1706
1312,2407,1709
1313,2404,1707
1314,2400,1713
1315,2408,1716
1316,2408,1722
1317,2413,1724
1318,2416,1730
1319,2424,1727
1320,2426,1723
1321,2430,1721
1322,2430,1719
1323,2432,1722
1324,2437,1726
1325,2433,1731
1326,2436,1736
1327,2444,1739
1328,2438,1736
1329,2442,1732
1330,2446,1731
1331,2443,1735
1332,2446,1738
1333,2440,1743
1334,2434,1743
1335,2439,1738
1336,2433,1742
1337,2434,1740
1338,2437,1739
1339,2431,1744
1340,2429,1744
1341,2423,1740
1342,2426,1741
1343,2427,1739
1344,2427,1737
1345,2434,1743
1346,2432,1740
1347,2439,1743
1348,2436,1741
1349,2433,1747
1350,2441,1748
1351,2444,1750
1352,2438,1755
1353,2446,1761
1354,2446,1758
1355,2451,1764
1356,2450,1766
1357,2445,1763
1358,2446,1763
1359,2443,1761
1360,2446,1762
1361,2446,1762
1362,2448,1760
1363,2444,1763
1364,2439,1758
1365,2434,1759
1366,2432,1758
1367,2433,1763
1368,2437,1763
1369,2432,1764
1370,2434,1764
1371,2429,1769
1372,2424,1774
1373,2428,1771
1374,2430,1776
1375,2437,1772
1376,2438,1775
1377,2439,1775
1378,2437,1776
1379,2432,1779
1380,2435,1777
1381,2439,1781
1382,2441,1787
1383,2446,1790
1384,2448,1794
1385,2443,1791
1386,2449,1794
1387,2452,1797
1388,2448,1802
1389,2452,1802
1390,2454,1808
1391,2452,1809
1392,2457,1809
1393,2459,1804
1394,2464,1802
1395,2466,1798
1396,2474,1799
1397,2471,1800
1398,2470,1796
1399,2472,1791
1400,2471,1790
1401,2466,1788
1402,2473,1783
1403,2481,1779
1404,2483,1779
1405,2483,1784
1406,2481,1785
1407,2477,1790
1408,2472,1792
1409,2477,1794
1410,2477,1790
1411,2471,1789
1412,2475,1786
1413,2480,1789
1414,2478,1794
1415,2474,1798
1416,2481,1794
1417,2484,1797
1418,2483,1792
1419,2481,1793
1420,2479,1789
1421,2485,1793
1422,2486,1798
1423,2489,1793
1424,2485,1795
1425,2481,1791
1426,2476,1787
1427,2475,1783
1428,2478,1778
1429,2475,1777
1430,2469,1780
1431,2467,1776
1432,2466,1779
1433,2470,1777
1434,2466,1777
1435,2468,1773
1436,2471,1770
1437,2468,1773
1438,2465,1772
1439,2462,1772
1440,2462,1773
1441,2456,1776
1442,2462,1778
1443,2462,1784
1444,2463,1790
1445,2468,1794
1446,2465,1795
1447,2470,1797
1448,2471,1794
1449,2476,1794
1450,2475,1799
1451,2477,1799
1452,2482,1804
1453,2481,1808
1454,2489,1809
1455,2496,1812
1456,2504,1812
1457,2502,1809
1458,2505,1813
1459,2499,1816
1460,2506,1812
1461,2506,1814
1462,2508,1809
1463,2516,1810
1464,2510,1806
1465,2516,1802
1466,2511,1797
1467,2511,1801
1468,2514,1803
1469,2521,1809
1470,2523,1813
1471,2531,1809
1472,2530,1815
1473,2537,1816
1474,2535,1817
1475,2536,1821
1476,2541,1827
1477,2546,1823
1478,2549,1826
1479,2556,1824
1480,2552,1829
1481,2547,1824
1482,2549,1829
1483,2545,1827
1484,2551,1829
1485,2557,1832
1486,2554,1834
1487,2552,1836
1488,2549,1841
1489,2544,1836
1490,2547,1842
1491,2554,1846
1492,2554,1845
1493,2551,1849
1494,2552,1852
1495,2548,1853
1496,2549,1858
1497,2550,1862
1498,2552,1868
1499,2553,1873
1500,2552,1872
1501,2555,1878
1502,2554,1883
1503,2556,1881
1504,2562,1879
1505,2565,1884
1506,2566,1884
1507,2561,1880
1508,2565,1883
1509,2564,1885
1510,2571,1883
1511,2579,1887
1512,2580,1885
1513,2578,1891
1514,2573,1886
1515,2574,1888
1516,2570,1889
1517,2572,1887
1518,2568,1892
1519,2571,1894
1520,2571,1892
1521,2567,1889
1522,2563,1887
1523,2559,1890
1524,2560,1891
1525,2564,1895
1526,2571,1893
1527,2567,1899
1528,2569,1902
1529,2565,1905
1530,2566,1907
1531,2570,1905
1532,2571,1907
1533,2571,1908
1534,2571,1908
1535,2571,1909
1536,2575,1905
1537,2569,1906
1538,2572,1912
1539,2574,1913
1540,2573,1908
1541,2570,1913
1542,2570,1911
1543,2567,1908
1544,2564,1906
1545,2562,1903
1546,2563,1899
1547,2558,1894
1548,2560,1892
1549,2567,1888
1550,2566,1893
1551,2560,1889
1552,2565,1887
1553,2568,1884
1554,2574,1882
1555,2578,1884
1556,2572,1888
1557,2566,1891
1558,2568,1891
1559,2575,1893
1560,2575,1890
1561,2582,1891
1562,2581,1891
1563,2585,1893
1564,2584,1890
1565,2582,1891
1566,2580,1896
1567,2580,1898
1568,2579,1895
1569,2575,1892
